id_autor,id_documento,id_principal,nome,tipo_autor,uri_autor,casa,partido,uf,cod_tipo_autor
160531,2233915,2225989,Jhonatan De Jesus,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160531,camara,PRB,RR,10000
160535,2263512,2263448,Marcon,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160535,camara,PT,RS,10000
160535,2263599,2263453,Marcon,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160535,camara,PT,RS,10000
160535,2263453,2263453,Marcon,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160535,camara,PT,RS,10000
160538,2263599,2263453,Bohn Gass,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160538,camara,PT,RS,10000
160538,2263453,2263453,Bohn Gass,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160538,camara,PT,RS,10000
160541,2264293,2264144,Arthur Lira,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160541,camara,PP,AL,10000
160541,2263512,2263448,Arthur Lira,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160541,camara,PP,AL,10000
160556,2263599,2263453,Padre João,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160556,camara,PT,MG,10000
160556,2201537,2192260,Padre João,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160556,camara,PT,MG,10000
160556,2263453,2263453,Padre João,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160556,camara,PT,MG,10000
160569,2263599,2263453,Waldenor Pereira,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160569,camara,PT,BA,10000
160569,2263453,2263453,Waldenor Pereira,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160569,camara,PT,BA,10000
160575,2263512,2263448,Erika Kokay,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,camara,PT,DF,10000
160575,2263599,2263453,Erika Kokay,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,camara,PT,DF,10000
160575,2263453,2263453,Erika Kokay,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,camara,PT,DF,10000
160604,2263453,2263453,Pedro Uczai,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160604,camara,PT,SC,10000
160604,2263599,2263453,Pedro Uczai,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160604,camara,PT,SC,10000
160604,2263264,2263264,Pedro Uczai,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160604,camara,PT,SC,10000
160610,2263453,2263453,Valmir Assunção,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160610,camara,PT,BA,10000
160610,2263599,2263453,Valmir Assunção,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160610,camara,PT,BA,10000
160632,2205046,2192260,Zé Silva,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160632,camara,SOLIDARIEDADE,MG,10000
160632,2201537,2192260,Zé Silva,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160632,camara,SOLIDARIEDADE,MG,10000
160632,2263447,2263447,Zé Silva,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160632,camara,SOLIDARIEDADE,MG,10000
160665,2219838,2195635,Augusto Coutinho,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160665,camara,SOLIDARIEDADE,PE,10000
