id_entidade,id_entidade_parlametria,casa,nome,sexo,partido,uf,situacao,em_exercicio,is_parlamentar,governismo,assinadas,autorias_ponderadas
204368,1204368,camara,Fabio Schiochet,M,PSL,SC,Titular,1,1,5.981083628609358,0,0
204477,1204477,camara,Felício Laterça,M,PSL,RJ,Titular,1,1,4.970867542366992,0,0
204398,1204398,camara,Felipe Francischini,M,PSL,PR,Titular,1,1,5.963573016115596,0,0
204371,1204371,camara,Felipe Rigoni,M,PSB,ES,Titular,1,1,1.205517915617996,0,0
204407,1204407,camara,Fernanda Melchionna,F,PSOL,RS,Titular,1,1,-6.945186197235214,9,2.736111111111111
204427,1204427,camara,Fernando Rodolfo,M,PL,PE,Titular,1,1,3.652887983024801,0,0
204411,1204411,camara,Filipe Barros,M,PSL,PR,Titular,1,1,7.312454670215651,0,0
204354,1204354,camara,Flávia Arruda,F,PL,DF,Titular,1,1,4.414310099973839,0,0
204447,1204447,camara,Flordelis,F,PSD,RJ,Titular,1,1,4.9251466886848565,0,0
204392,1204392,camara,Francisco Jr.,M,PSD,GO,Titular,1,1,4.946942929100345,0,0
204510,1204510,camara,Franco Cartafina,M,PP,MG,Titular,1,1,4.002846702850334,0,0
204494,1204494,camara,Fred Costa,M,PATRIOTA,MG,Titular,1,1,3.729660848433358,0,0
204393,1204393,camara,Frei Anastacio Ribeiro,M,PT,PB,Titular,1,1,-4.390957955735883,7,0.35980136702753335
115746,1115746,camara,Gelson Azevedo,M,PL,RJ,Titular,1,1,6.30519633589196,0,0
204473,1204473,camara,General Girão,M,PSL,RN,Titular,1,1,8.023710324434557,0,0
204484,1204484,camara,General Peternelli,M,PSL,SP,Titular,1,1,6.037378263892808,0,0
204527,1204527,camara,Geninho Zuliani,M,DEM,SP,Titular,1,1,4.621587200189051,0,0
204394,1204394,camara,Gervásio Maia,M,PSB,PB,Titular,1,1,-1.9957429463000942,2,0.10263157894736842
204575,1204575,camara,Gil Cutrim,M,PDT,MA,Titular,1,1,3.02981591506693,0,0
204491,1204491,camara,Gilberto Abramo,M,REPUBLICANOS,MG,Titular,1,1,4.960826156086483,0,0
204570,1204570,camara,Gildenemyr,M,PL,MA,Titular,1,1,5.6370803627192085,0,0
204365,1204365,camara,Gilson Marques,M,NOVO,SC,Titular,1,1,5.8751882276919805,0,0
204419,1204419,camara,Glaustin Fokus,M,PSC,GO,Titular,1,1,3.7697111970239323,0,0
