id_ext,sigla_tipo,numero,ementa,data_apresentacao,casa,casa_origem,autor_nome,autor_uf,autor_partido,regime_tramitacao,forma_apreciacao,relator_id,relator_id_parlametria,id_leggo,status
2259826,PDL,366,"""Susta o Decreto nº 10.451/2020."" ",2020-08-11T15:33:00Z,camara,camara,Alessandro Molon,RJ,PSB,Indefinido,Indefinido,NA,NA,ba0b849ce32b284a0a66635f6e9000c4,Ativa
2263264,PL,4697,"Torna hediondo o crime de incêndio em mata ou floresta, previsto no art. 41 da Lei nº 9.605, de 12 de fevereiro de 1998 – Lei de Crimes Ambientais. ",2020-09-23T10:41:00Z,camara,camara,Pedro Uczai,SC,PT,Indefinido,Indefinido,NA,NA,41eaabc38965658ff388095754c0c0c4,Ativa
2263379,PL,4714,"Dispõe sobre a obrigatoriedade de 
prévia contratação de seguro de 
responsabilidade civil por queimadas. ",2020-09-24T09:11:00Z,camara,camara,José Nelto,GO,PODE,Indefinido,Indefinido,NA,NA,6d0aabd1c472d4673c66f1223435a42d,Ativa
2263378,PDL,408,"Susta a Resolução nº 46, de 8 de setembro de 2020, da Agência Nacional de Mineração. ",2020-09-24T09:07:00Z,camara,camara,Nilto Tatto,SP,PT,Indefinido,Indefinido,NA,NA,eeb1b31085f6cb74ccf98f08691864e5,Ativa
2263447,PL,4734,"Altera a Lei n° 8.171, de 17 de janeiro de 1991, que dispõe sobre a política agrícola, para criar o Selo Agro Verde; e aprimora o controle de origem e regularidade ambiental da produção agropecuária. ",2020-09-28T12:02:00Z,camara,camara,Zé Silva,MG,SOLIDARIEDADE,Indefinido,Indefinido,NA,NA,63752d71560e20e96d1b304bf301b032,Ativa
2263452,PL,4735,Estabelece o Cadastro Negativo da Pecuária e dispõe sobre as regras que lhes são aplicáveis. ,2020-09-28T15:37:00Z,camara,camara,André Figueiredo,CE,PDT,Indefinido,Indefinido,NA,NA,8f69c2618b4037192043f01e20052383,Ativa
2263448,PDL,414,"Susta a Resolução CONAMA, do Conselho Nacional do Meio Ambiente, que revoga as Resoluções CONAMA 284/2001, 302/2002 e 303/2002. ",2020-09-28T13:03:00Z,camara,camara,Alessandro Molon+Aliel Machado+Bira do Pindaré+Camilo Capiberibe+Danilo Cabral+Denis Bezerra+Elias Vaz+Gervásio Maia+Heitor Schuch+João H. Campos+Júlio Delgado+Lídice da Mata+Marcelo Nilo+Rafael Motta+Rodrigo Agostinho+Tadeu Alencar+Ted Conti+Túlio Gadêlha+Vilson da Fetaemg,RJ+PR+MA+AP+PE+CE+GO+PB+RS+PE+MG+BA+BA+RN+SP+PE+ES+PE+MG,PSB+PSB+PSB+PSB+PSB+PSB+PSB+PSB+PSB+PSB+PSB+PSB+PSB+PSB+PSB+PSB+PSB+PDT+PSB,Indefinido,Indefinido,NA,NA,95a3ca957f9109c578c17f6a23a471e1,Ativa
2263453,PDL,415,"Susta a Resolução CONAMA, do Conselho Nacional do Meio Ambiente, que revoga as Resoluções CONAMA 284/2001, 302/2002 e 303/2002. ",2020-09-28T16:00:00Z,camara,camara,Afonso Florence+Airton Faleiro+Alencar Santana Braga+Alexandre Padilha+Beto Faro+Bohn Gass+Carlos Veras+Célio Moura+Enio Verri+Erika Kokay+Frei Anastacio Ribeiro+Gleisi Hoffmann+Helder Salomão+Jandira Feghali+João Daniel+João H. Campos+Jorge Solla+José Guimarães+Joseildo Ramos+Leonardo Monteiro+Luizianne Lins+Marcelo Freixo+Marcon+Margarida Salomão+Maria do Rosário+Marília Arraes+Merlong Solano+Natália Bonavides+Nilto Tatto+Padre João+Patrus Ananias+Paulão+Paulo Guedes+Paulo Teixeira+Pedro Uczai+Professora Rosa Neide+Rogério Correia+Rubens Otoni+Rui Falcão+Túlio Gadêlha+Valmir Assunção+Vander Loubet+Vicentinho+Waldenor Pereira,BA+PA+SP+SP+PA+RS+PE+TO+PR+DF+PB+PR+ES+RJ+SE+PE+BA+CE+BA+MG+CE+RJ+RS+MG+RS+PE+PI+RN+SP+MG+MG+AL+MG+SP+SC+MT+MG+GO+SP+PE+BA+MS+SP+BA,PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PCdoB+PT+PSB+PT+PT+PT+PT+PT+PSOL+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PDT+PT+PT+PT+PT,Indefinido,Indefinido,NA,NA,6d4bd96c8a8dffe066718503d82ec4a0,Ativa
2263461,PDL,416,"Susta os efeitos da Resolução nº 500 do Conselho Nacional do Meio Ambiente – CONAMA, que revoga as Resoluções CONAMA 284/2001, 302/2002 e 303/2002. ",2020-09-28T17:51:00Z,camara,camara,Alice Portugal+Jandira Feghali+Perpétua Almeida,BA+RJ+AC,PCdoB+PCdoB+PCdoB,Indefinido,Indefinido,NA,NA,f9ac0741cab86990c55e18dc7e39b779,Ativa
2263463,PDL,417,"Susta as decisões da Reunião Ordinária n°135 do Conselho Nacional do Meio Ambiente (CONAMA) que revogaram as resoluções nº 264, nº 284, nº 302 e nº 303, que dispõem sobre o licenciamento ambiental para atividades de irrigação e a ocupação de Áreas de Preservação Permanente (APPs) de manguezais e restingas, e institui nova Resolução que permite a incineração de resíduos perigosos. ",2020-09-28T18:58:00Z,camara,camara,Áurea Carolina+David Miranda+Edmilson Rodrigues+Fernanda Melchionna+Glauber Braga+Ivan Valente+Luiza Erundina+Marcelo Freixo+Sâmia Bomfim+Talíria Petrone,MG+RJ+PA+RS+RJ+SP+SP+RJ+SP+RJ,PSOL+PSOL+PSOL+PSOL+PSOL+PSOL+PSOL+PSOL+PSOL+PSOL,Indefinido,Indefinido,NA,NA,ac53697f4326dbc437b7e5047c3f666b,Ativa
2264051,PL,4839,Estabelece diretrizes para as políticas públicas de desenvolvimento sustentável dos povos e comunidades tradicionais. ,2020-10-06T16:43:00Z,camara,camara,Felipe Carreras,PE,PSB,Indefinido,Indefinido,NA,NA,8b633a9802f478711db16a55a4f12d54,Ativa
2263834,PL,4827,"Acrescenta dispositivos à Lei nº 5.197, de 3 de janeiro de 1967, para dispor sobre o controle de espécies exóticas invasoras. ",2020-10-06T13:29:00Z,camara,camara,Santini,RS,PTB,Indefinido,Indefinido,NA,NA,6e9ad7bc344edaa2e1cd35e69860beba,Ativa
